access_id,timestamp,user_id,username,department,data_asset,data_sensitivity,data_category,query_type,rowcount,access_method,destination,status,source_ip,bytes_transferred,session_duration_min,client_application,authentication_method,is_vpn,geo_location,time_classification,anomaly_marker
ACC-000020,2025-04-23 22:55:47,USR-0065,chase.meyer,HR,GL_Ledger,high,Financial,SELECT,5434,Direct_Download,internal_report,success,10.251.92.29,1086800,1,SSMS,SSO,False,Frankfurt,night,CROSS_DEPT_ACCESS
ACC-000021,2025-04-24 10:58:11,USR-0008,austin.hernandez,Finance,Merger_Documents,restricted,Financial,BULK_DOWNLOAD,27414,API,usb_drive,success,10.129.74.71,6469704,7.7,Jupyter_Notebook,API_Key,True,Tokyo,business_hours,EXFILTRATION_RISK
ACC-000022,2025-04-24 12:15:39,USR-0009,blake.garcia,Legal,Contract_Repository,high,Legal,EXPORT,21,SQL_Client,internal_server,success,10.202.171.28,8463,5.9,Custom_ETL,Biometric,False,Sydney,business_hours,
ACC-000023,2025-04-24 13:59:35,USR-0024,aisha.harris,HR,Employee_Records,restricted,PII,SELECT,941,CLI,internal_server,success,10.245.203.79,371695,10.0,Excel,MFA,False,New_York,business_hours,
ACC-000024,2025-04-24 17:21:55,USR-0069,dean.reddy,Marketing,Campaign_DB,low,Operational,EXPORT,946,SQL_Client,local_workstation,success,10.226.209.61,255420,9.0,SSMS,MFA,False,Frankfurt,business_hours,
ACC-000025,2025-04-24 18:11:38,USR-0042,jaya.li,Finance,All_Financial,restricted,Financial,INSERT,14,BI_Tool,internal_server,success,10.160.180.232,6006,8.6,Excel,MFA,True,Toronto,after_hours,
ACC-000026,2025-04-25 07:38:07,USR-0057,iris.dubois,Operations,Employee_Records,restricted,PII,UPDATE,887,SQL_Client,internal_report,success,10.111.157.236,434630,1,Python_Script,Biometric,True,Frankfurt,early_morning,CROSS_DEPT_ACCESS
ACC-000027,2025-04-25 08:29:41,USR-0012,elena.gonzalez,Support,Merger_Documents,restricted,Financial,SELECT,2849,SQL_Client,local_workstation,success,10.241.153.169,1156694,21.6,SSMS,MFA,False,Singapore,business_hours,CROSS_DEPT_ACCESS
ACC-000028,2025-04-25 09:09:59,USR-0085,emma.smith,Engineering,PROD_DB,high,Technical,SELECT,3042,BI_Tool,internal_server,success,10.73.149.228,1171170,31.2,Tableau,SSO,False,Frankfurt,business_hours,
ACC-000029,2025-04-25 21:54:32,USR-0061,simran.brown,Legal,Infrastructure_DB,high,Technical,BULK_DOWNLOAD,4035,SQL_Client,external_email,success,10.6.212.12,782790,7.1,Tableau,SSO,True,New_York,after_hours,EXFILTRATION_RISK
ACC-000030,2025-04-26 04:20:09,USR-0008,austin.hernandez,Finance,All_Financial,restricted,Financial,SELECT,0,API,shared_drive,failure,10.128.118.146,0,0.5,SSMS,SSO,False,Mumbai,weekend,FAILED_AUTH_BURST
ACC-000031,2025-04-28 09:20:13,USR-0066,finn.kumar,IT,Infrastructure_DB,high,Technical,EXPORT,361,SQL_Client,local_workstation,success,10.161.128.251,142234,13.7,Custom_ETL,Certificate,False,London,business_hours,
ACC-000032,2025-04-28 19:30:34,USR-0063,amara.chen,Engineering,CI_CD_Pipeline,medium,Technical,SELECT,906,BI_Tool,local_workstation,success,10.218.246.50,371460,20.4,SAP_GUI,SSO,False,Tokyo,after_hours,
ACC-000033,2025-04-29 08:13:03,USR-0057,iris.dubois,Operations,Logistics_System,medium,Operational,UPDATE,1184,BI_Tool,internal_report,success,10.128.61.231,131424,3.0,SSMS,SSO,False,Tokyo,business_hours,
ACC-000034,2025-04-29 08:31:36,USR-0019,ananya.anderson,Support,Knowledge_Base,low,Operational,EXPORT,2194,Web_Portal,local_workstation,success,10.32.25.64,276444,21.4,Python_Script,Biometric,False,Frankfurt,business_hours,
ACC-000035,2025-04-29 16:34:45,USR-0047,shreya.young,Engineering,Legal_Documents,high,Legal,SELECT,76,API,local_workstation,success,10.78.102.63,35188,16.7,Excel,API_Key,False,London,business_hours,
ACC-000036,2025-04-29 17:40:17,USR-0083,shreya.martin,Finance,Backup_System,high,Technical,EXPORT,16036,SQL_Client,print,success,10.237.236.22,4025036,14.6,Tableau,SSO,False,Mumbai,business_hours,EXFILTRATION_RISK
ACC-000037,2025-04-29 18:49:53,USR-0069,dean.reddy,Marketing,Marketing_Analytics,low,Operational,SELECT,525,Direct_Download,shared_drive,success,10.176.243.72,262500,9.7,Tableau,SSO,False,Tokyo,after_hours,
ACC-000038,2025-04-29 18:55:32,USR-0023,riya.perez,Legal,Legal_Documents,high,Legal,EXPORT,3148,API,shared_drive,success,10.250.248.64,805888,28.1,Tableau,API_Key,False,Sydney,after_hours,
ACC-000039,2025-04-29 19:28:27,USR-0099,tatiana.o'brien,Engineering,CI_CD_Pipeline,medium,Technical,SELECT,2404,API,internal_server,success,10.113.201.229,783704,10.9,SSMS,Password_Only,False,New_York,after_hours,
ACC-000040,2025-04-30 12:25:37,USR-0038,nisha.rodriguez,Marketing,Marketing_Analytics,low,Operational,EXPORT,123,Direct_Download,internal_server,success,10.197.86.82,15744,28.9,Excel,SSO,False,Frankfurt,business_hours,
ACC-000041,2025-04-30 14:25:19,USR-0028,fatima.fischer,Marketing,Strategic_Plans,restricted,Operational,SELECT,55,API,internal_report,success,10.116.71.86,6435,4.8,Python_Script,SSO,False,Singapore,business_hours,
ACC-000042,2025-04-30 15:03:52,USR-0018,dean.bernard,Engineering,PROD_DB,high,Technical,EXPORT,897,Direct_Download,local_workstation,success,10.17.91.177,148005,6.9,SSMS,MFA,False,New_York,business_hours,
ACC-000043,2025-04-30 18:28:27,USR-0000,kiara.jackson,Finance,AP_System,high,Financial,EXPORT,362,BI_Tool,internal_server,success,10.126.233.177,51042,39.9,Excel,SSO,False,Singapore,after_hours,CROSS_DEPT_ACCESS
ACC-000044,2025-04-30 23:48:26,USR-0006,liam.sanchez,Engineering,Backup_System,high,Technical,EXPORT,17380,CLI,local_workstation,success,10.132.6.222,6726060,1.2,Tableau,Password_Only,False,Mumbai,night,BULK_EXPORT
ACC-000045,2025-05-01 06:24:45,USR-0089,sarah.ghosh,Executive,Executive_Dashboard,high,Financial,EXPORT,83960,Direct_Download,internal_report,success,10.80.45.126,27203040,10.8,Excel,SSO,True,Mumbai,early_morning,BULK_EXPORT
ACC-000046,2025-05-01 13:54:49,USR-0065,chase.meyer,HR,CRM_Database,high,PII,SELECT,4867,API,internal_server,success,10.59.200.29,632710,18.2,API_Client,Certificate,False,Sydney,business_hours,CROSS_DEPT_ACCESS
ACC-000047,2025-05-01 18:48:05,USR-0011,grace.quinn,Finance,AP_System,high,Financial,SELECT,5096,Direct_Download,internal_server,success,10.23.33.8,586040,1,Jupyter_Notebook,SSO,False,Sydney,after_hours,
ACC-000048,2025-05-02 12:27:36,USR-0096,anjali.taylor,Sales,Knowledge_Base,low,Operational,SELECT,712,API,local_workstation,success,10.88.26.131,81880,22.3,Tableau,SSO,True,Toronto,business_hours,
ACC-000049,2025-05-02 15:50:48,USR-0065,chase.meyer,HR,Benefits_DB,high,HR,EXPORT,3106,BI_Tool,internal_server,success,10.207.239.61,885210,1.7,Tableau,Password_Only,False,Tokyo,business_hours,
ACC-000050,2025-05-02 18:22:11,USR-0086,dean.robinson,Executive,All_Financial,restricted,Financial,EXPORT,0,SQL_Client,internal_server,failure,10.31.184.199,0,0.2,Tableau,MFA,False,Mumbai,after_hours,FAILED_AUTH_BURST
ACC-000051,2025-05-02 18:35:49,USR-0015,uma.johnson,Legal,Contract_Repository,high,Legal,SELECT,922,SQL_Client,local_workstation,success,10.244.70.94,297806,1,Excel,Password_Only,False,Toronto,after_hours,
ACC-000052,2025-05-02 21:24:03,USR-0003,aria.sharma,IT,Infrastructure_DB,high,Technical,SELECT,1127,API,local_workstation,success,10.207.168.23,426006,1,Excel,SSO,True,Mumbai,after_hours,
ACC-000053,2025-05-03 03:55:39,USR-0069,dean.reddy,Marketing,Financial_Reports,high,Financial,EXPORT,20595,CLI,external_email,success,10.206.18.113,4077810,21.3,Excel,API_Key,False,Unknown_VPN,weekend,NIGHT_BULK_CRITICAL
ACC-000054,2025-05-04 04:03:41,USR-0073,evan.patel,Finance,Benefits_DB,high,HR,DELETE,1197,BI_Tool,shared_drive,success,10.223.198.59,416556,16.6,Power_BI,Certificate,False,Mumbai,weekend,AFTER_HOURS_RESTRICTED
ACC-000055,2025-05-05 01:27:05,USR-0069,dean.reddy,Marketing,Benefits_DB,high,HR,SELECT,852,SQL_Client,shared_drive,success,10.153.148.130,410664,24.5,Tableau,SSO,False,New_York,night,AFTER_HOURS_RESTRICTED
ACC-000056,2025-05-05 08:00:33,USR-0018,dean.bernard,Engineering,Dev_DB,low,Technical,DELETE,940,API,internal_report,success,10.115.229.6,349680,16.9,Tableau,SSO,False,London,business_hours,
ACC-000057,2025-05-05 11:50:12,USR-0020,andrew.quinn,HR,Payroll_System,restricted,PII,SELECT,730,Web_Portal,local_workstation,success,10.198.97.12,348210,19.2,Power_BI,MFA,False,London,business_hours,
ACC-000058,2025-05-05 18:56:51,USR-0031,divya.becker,Support,Ops_Dashboard,low,Operational,BULK_DOWNLOAD,1741,BI_Tool,internal_server,success,10.22.238.25,224589,6.3,Tableau,MFA,False,Singapore,after_hours,
ACC-000059,2025-05-05 22:30:58,USR-0057,iris.dubois,Operations,Compliance_DB,high,Legal,EXPORT,5525,SQL_Client,personal_device,success,10.219.217.233,1624350,30.3,Tableau,Certificate,False,Sydney,night,EXFILTRATION_RISK
ACC-000060,2025-05-06 08:26:54,USR-0071,hugo.clark,Operations,Inventory_DB,medium,Operational,SELECT,3418,BI_Tool,local_workstation,success,10.127.7.172,1165538,7.3,Python_Script,SSO,False,Frankfurt,business_hours,
ACC-000061,2025-05-06 10:50:55,USR-0065,chase.meyer,HR,Payroll_System,restricted,PII,UPDATE,4387,BI_Tool,internal_report,success,10.126.77.52,1539837,17.0,SAP_GUI,MFA,False,Frankfurt,business_hours,
ACC-000062,2025-05-06 11:19:30,USR-0098,xiulan.jones,Sales,GL_Ledger,high,Financial,UPDATE,1896,API,shared_drive,success,10.200.130.241,248376,1,SSMS,MFA,False,Toronto,business_hours,
ACC-000063,2025-05-06 11:33:11,USR-0052,dean.lopez,Legal,Litigation_DB,restricted,Legal,INSERT,436,BI_Tool,shared_drive,success,10.39.136.43,70196,26.5,Custom_ETL,MFA,False,Tokyo,business_hours,
ACC-000064,2025-05-06 12:21:30,USR-0011,grace.quinn,Finance,AR_System,high,Financial,UPDATE,1570,BI_Tool,local_workstation,success,10.119.22.51,400350,13.1,SSMS,Password_Only,False,Mumbai,business_hours,
ACC-000065,2025-05-06 13:10:16,USR-0064,robert.park,IT,Network_Logs,medium,Technical,SELECT,85,BI_Tool,internal_server,success,10.194.103.36,41395,17.0,Excel,Certificate,True,Toronto,business_hours,
ACC-000066,2025-05-06 16:49:28,USR-0034,shreya.kumar,IT,Backup_System,high,Technical,EXPORT,3084,SQL_Client,internal_server,success,10.46.125.73,1026972,20.0,SSMS,SSO,False,Singapore,business_hours,
ACC-000067,2025-05-06 21:03:38,USR-0010,maria.sharma,IT,Admin_Console,medium,Technical,DELETE,1444,SQL_Client,internal_server,success,10.152.81.175,167504,33.2,SSMS,MFA,False,Tokyo,after_hours,
ACC-000068,2025-05-07 02:32:59,USR-0038,nisha.rodriguez,Marketing,Marketing_Analytics,low,Operational,SELECT,0,BI_Tool,local_workstation,failure,10.173.211.124,0,0.4,SSMS,MFA,False,Mumbai,night,FAILED_AUTH_BURST
ACC-000069,2025-05-07 08:01:26,USR-0090,wade.das,Sales,Strategic_Plans,restricted,Operational,BULK_DOWNLOAD,781,SQL_Client,personal_device,success,10.129.26.129,77319,24.1,Tableau,Certificate,True,London,business_hours,EXFILTRATION_RISK
ACC-000070,2025-05-07 15:03:59,USR-0018,dean.bernard,Engineering,Code_Repository,medium,Technical,SELECT,1078,BI_Tool,shared_drive,success,10.205.236.73,438746,10.2,Tableau,MFA,False,Toronto,business_hours,
ACC-000071,2025-05-07 16:07:24,USR-0089,sarah.ghosh,Executive,Payroll_System,restricted,PII,SELECT,3055,BI_Tool,shared_drive,success,10.152.17.210,342160,19.5,Power_BI,MFA,True,New_York,business_hours,CROSS_DEPT_ACCESS
ACC-000072,2025-05-08 17:08:05,USR-0078,nathan.rodriguez,IT,AR_System,high,Financial,BULK_DOWNLOAD,209,BI_Tool,local_workstation,success,10.226.25.205,61028,20.7,API_Client,MFA,False,London,business_hours,DEVICE_ANOMALY
ACC-000073,2025-05-08 21:56:09,USR-0056,benjamin.taylor,IT,Test_Environment,low,Technical,SELECT,0,Web_Portal,internal_server,failure,178.92.192.82,0,0.5,SSMS,Password_Only,True,Pyongyang,after_hours,FAILED_AUTH_BURST
ACC-000074,2025-05-09 02:41:14,USR-0040,leela.murphy,Executive,HR_Database,high,HR,BULK_DOWNLOAD,24590,CLI,usb_drive,success,10.179.229.29,3713090,20.9,Tableau,Password_Only,False,Lagos,night,NIGHT_BULK_CRITICAL
ACC-000075,2025-05-09 16:02:22,USR-0051,tatiana.martinez,Support,FAQ_Database,low,Operational,SELECT,538,SQL_Client,local_workstation,success,10.238.26.179,111366,34.0,SAP_GUI,Certificate,False,Toronto,business_hours,
ACC-000076,2025-05-09 16:31:29,USR-0073,evan.patel,Finance,AR_System,high,Financial,INSERT,1590,BI_Tool,internal_server,success,10.77.136.139,186030,22.2,API_Client,SSO,False,London,business_hours,
ACC-000077,2025-05-09 18:55:55,USR-0079,nisha.garcia,Sales,CRM_Database,high,PII,SELECT,4070,BI_Tool,local_workstation,success,10.15.240.239,1257630,26.5,SSMS,SSO,False,London,after_hours,
ACC-000078,2025-05-10 05:43:07,USR-0007,tyler.perez,Executive,All_Financial,restricted,Financial,SELECT,621,API,local_workstation,success,10.20.170.193,301185,1,Python_Script,MFA,False,Toronto,weekend,STALE_ACCOUNT_ACCESS
ACC-000079,2025-05-10 09:16:13,USR-0078,nathan.rodriguez,IT,CRM_Database,high,PII,UPDATE,185,SQL_Client,local_workstation,success,10.96.128.133,64565,1,Excel,API_Key,True,Toronto,weekend,DEVICE_ANOMALY
ACC-000080,2025-05-10 20:09:15,USR-0000,kiara.jackson,Finance,Litigation_DB,restricted,Legal,BULK_DOWNLOAD,14534,SQL_Client,local_workstation,success,10.251.21.122,6075212,24.8,Tableau,SSO,False,New_York,weekend,BULK_EXPORT
ACC-000081,2025-05-11 19:56:06,USR-0006,liam.sanchez,Engineering,PROD_DB,high,Technical,SELECT,12582,BI_Tool,usb_drive,success,10.10.95.8,3699108,14.8,curl,API_Key,False,London,weekend,PRE_RESIGNATION_DOWNLOAD
ACC-000082,2025-05-11 20:03:43,USR-0012,elena.gonzalez,Support,Executive_Dashboard,high,Financial,INSERT,2606,CLI,shared_drive,success,10.176.169.223,758346,15.8,Tableau,SSO,False,Toronto,weekend,DEVICE_ANOMALY
ACC-000083,2025-05-12 02:33:01,USR-0073,evan.patel,Finance,Strategic_Plans,restricted,Operational,SELECT,1500,API,internal_server,success,10.110.156.218,598500,13.4,SAP_GUI,Password_Only,False,Sydney,night,AFTER_HOURS_RESTRICTED
ACC-000084,2025-05-12 07:04:17,USR-0055,aisha.rossi,Sales,All_Financial,restricted,Financial,SELECT,113,BI_Tool,shared_drive,success,10.193.153.151,38420,24.3,SSMS,MFA,False,Singapore,early_morning,PRIVILEGE_ESCALATION
ACC-000085,2025-05-12 09:15:36,USR-0026,isha.lee,Executive,SLA_Reports,medium,Operational,UPDATE,632,API,shared_drive,success,10.2.65.130,178224,16.7,API_Client,API_Key,True,Tokyo,business_hours,STALE_ACCOUNT_ACCESS
ACC-000086,2025-05-12 13:21:55,USR-0008,austin.hernandez,Finance,Merger_Documents,restricted,Financial,SELECT,1899,CLI,internal_report,success,10.50.64.214,305739,23.8,Custom_ETL,SSO,True,Tokyo,business_hours,
ACC-000087,2025-05-12 14:54:18,USR-0055,aisha.rossi,Sales,Lead_Database,medium,PII,SELECT,144,SQL_Client,internal_report,success,10.103.71.196,18864,3.5,SAP_GUI,SSO,False,Toronto,business_hours,
ACC-000088,2025-05-12 15:46:04,USR-0070,hugo.patel,IT,Network_Logs,medium,Technical,BULK_DOWNLOAD,314,Direct_Download,local_workstation,success,10.39.191.100,29516,6.6,Tableau,Biometric,False,Toronto,business_hours,
ACC-000089,2025-05-13 01:27:28,USR-0003,aria.sharma,IT,Merger_Documents,restricted,Financial,EXPORT,88814,Direct_Download,external_email,success,10.113.174.74,16341776,29.0,SSMS,Password_Only,True,Mumbai,night,NIGHT_BULK_CRITICAL
ACC-000090,2025-05-13 08:59:14,USR-0001,xiulan.iyer,Finance,Strategic_Plans,restricted,Operational,UPDATE,278,API,internal_server,success,10.103.227.175,71168,13.0,Power_BI,MFA,False,Frankfurt,business_hours,PRIVILEGE_ESCALATION
ACC-000091,2025-05-13 09:25:34,USR-0006,liam.sanchez,Engineering,Code_Repository,medium,Technical,SELECT,151,SQL_Client,local_workstation,success,10.82.67.244,20234,23.3,Tableau,Password_Only,False,Sydney,business_hours,
ACC-000092,2025-05-13 09:31:36,USR-0089,sarah.ghosh,Executive,PROD_DB,high,Technical,UPDATE,2353,CLI,local_workstation,success,10.135.66.151,1108263,22.0,Tableau,MFA,True,Sydney,business_hours,
ACC-000093,2025-05-14 16:16:15,USR-0036,rachel.kim,Sales,Admin_Console,medium,Technical,SELECT,253,Web_Portal,local_workstation,success,10.158.65.175,75394,4.0,Custom_ETL,Password_Only,False,Toronto,business_hours,PRIVILEGE_ESCALATION
ACC-000094,2025-05-14 18:45:14,USR-0095,tara.thompson,Sales,Board_Materials,restricted,Financial,INSERT,4545,Web_Portal,internal_server,success,10.119.214.142,2058885,20.5,Power_BI,Biometric,False,Mumbai,after_hours,
ACC-000095,2025-05-14 20:47:21,USR-0063,amara.chen,Engineering,Code_Repository,medium,Technical,EXPORT,660,API,internal_server,success,10.151.34.47,321420,24.0,Excel,MFA,False,New_York,after_hours,
ACC-000096,2025-05-15 08:46:30,USR-0054,uma.hernandez,Operations,Ops_Dashboard,low,Operational,SELECT,4515,BI_Tool,internal_report,success,10.147.48.171,636615,39.3,Excel,Certificate,True,Mumbai,business_hours,
ACC-000097,2025-05-15 08:58:12,USR-0050,troy.smith,Finance,Legal_Documents,high,Legal,SELECT,1771,Direct_Download,internal_report,success,10.210.137.226,623392,20.1,Tableau,SSO,False,Singapore,business_hours,
ACC-000098,2025-05-15 17:07:39,USR-0041,leela.iyer,Engineering,Ops_Dashboard,low,Operational,UPDATE,77,SQL_Client,local_workstation,success,10.127.103.140,19635,18.6,Tableau,MFA,False,New_York,business_hours,
ACC-000099,2025-05-15 20:59:32,USR-0074,riya.petit,Marketing,CRM_Database,high,PII,BULK_DOWNLOAD,432,SQL_Client,shared_drive,success,10.237.55.236,188784,12.1,SSMS,Password_Only,False,Toronto,after_hours,CROSS_DEPT_ACCESS
ACC-000100,2025-05-15 21:38:37,USR-0072,wei.lewis,Legal,Strategic_Plans,restricted,Operational,EXPORT,313436,Direct_Download,shared_drive,success,10.114.221.56,141986508,11.2,Excel,SSO,False,New_York,after_hours,BULK_EXPORT
ACC-000101,2025-05-16 04:43:20,USR-0062,catherine.pillai,IT,Infrastructure_DB,high,Technical,EXPORT,35998,Direct_Download,cloud_storage,success,10.121.29.12,4715738,29.8,SSMS,Password_Only,False,New_York,night,NIGHT_BULK_CRITICAL
ACC-000102,2025-05-16 07:04:25,USR-0037,haruto.nair,Operations,AP_System,high,Financial,SELECT,273,BI_Tool,internal_report,success,10.34.138.108,76167,17.7,Tableau,Biometric,False,Toronto,early_morning,DEVICE_ANOMALY
ACC-000103,2025-05-16 09:08:42,USR-0026,isha.lee,Executive,SLA_Reports,medium,Operational,EXPORT,281,SQL_Client,local_workstation,success,10.146.209.138,132632,3.0,SAP_GUI,SSO,False,New_York,business_hours,
ACC-000104,2025-05-16 16:09:51,USR-0044,jack.chen,Sales,Budget_DB,medium,Financial,UPDATE,119,API,internal_server,success,10.3.164.31,26299,22.8,Tableau,MFA,False,Sydney,business_hours,
ACC-000105,2025-05-16 17:18:01,USR-0049,blake.das,Engineering,Code_Repository,medium,Technical,EXPORT,2453,SQL_Client,local_workstation,success,10.19.140.100,883080,21.3,Python_Script,Certificate,False,Mumbai,business_hours,
ACC-000106,2025-05-16 22:22:39,USR-0078,nathan.rodriguez,IT,CRM_Database,high,PII,SELECT,150,Direct_Download,local_workstation,success,10.101.46.181,37500,14.2,Tableau,MFA,False,Toronto,night,CROSS_DEPT_ACCESS
ACC-000107,2025-05-17 13:39:24,USR-0075,tatiana.burke,Engineering,All_Financial,restricted,Financial,SELECT,86448,CLI,local_workstation,success,10.197.107.109,13658784,15.6,Tableau,Password_Only,False,Tokyo,weekend,BULK_EXPORT
ACC-000108,2025-05-19 11:27:26,USR-0078,nathan.rodriguez,IT,GL_Ledger,high,Financial,UPDATE,168,API,internal_server,success,10.157.14.232,53760,29.1,Power_BI,SSO,True,Sydney,business_hours,CROSS_DEPT_ACCESS
ACC-000109,2025-05-19 13:24:01,USR-0088,wei.zhang,HR,Benefits_DB,high,HR,SELECT,382,Web_Portal,internal_server,success,10.187.189.207,98174,32.8,Tableau,MFA,False,New_York,business_hours,
ACC-000110,2025-05-19 16:58:20,USR-0056,benjamin.taylor,IT,CI_CD_Pipeline,medium,Technical,SELECT,2102,SQL_Client,local_workstation,success,10.250.224.251,174466,28.0,SAP_GUI,MFA,True,Sydney,business_hours,
ACC-000111,2025-05-19 18:49:52,USR-0055,aisha.rossi,Sales,Sales_Pipeline,medium,Operational,UPDATE,129,SQL_Client,local_workstation,success,10.209.88.48,30444,17.1,SAP_GUI,SSO,False,New_York,after_hours,
ACC-000112,2025-05-20 07:17:55,USR-0073,evan.patel,Finance,AP_System,high,Financial,SELECT,0,SQL_Client,internal_server,failure,10.176.24.244,0,1.3,SSMS,Password_Only,False,Sydney,early_morning,FAILED_AUTH_BURST
ACC-000113,2025-05-20 07:25:09,USR-0060,aria.zhang,Support,Payroll_System,restricted,PII,SELECT,577,SQL_Client,internal_report,success,10.78.250.38,193872,8.3,SSMS,SSO,False,Toronto,early_morning,
ACC-000114,2025-05-20 14:01:04,USR-0040,leela.murphy,Executive,Board_Materials,restricted,Financial,EXPORT,31309,SQL_Client,external_email,success,10.181.74.46,5510384,2.8,SSMS,MFA,False,Frankfurt,business_hours,PRE_RESIGNATION_DOWNLOAD
ACC-000115,2025-05-20 14:04:54,USR-0023,riya.perez,Legal,Inventory_DB,medium,Operational,UPDATE,2120,BI_Tool,local_workstation,success,10.100.121.193,1045160,4.1,curl,Password_Only,False,Mumbai,business_hours,
ACC-000116,2025-05-20 19:37:06,USR-0099,tatiana.o'brien,Engineering,Backup_System,high,Technical,EXPORT,797,SQL_Client,internal_report,success,10.189.204.159,398500,1,Tableau,MFA,False,Mumbai,after_hours,
