access_id,is_anomaly,anomaly_type,severity,explanation
ACC-000026,True,CROSS_DEPT_ACCESS,MEDIUM,Operations employee accessed Employee_Records (restricted sensitivity) — not in approved assets.
ACC-000027,True,CROSS_DEPT_ACCESS,MEDIUM,Support employee accessed Merger_Documents (restricted sensitivity) — not in approved assets.
ACC-000028,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000029,True,EXFILTRATION_RISK,CRITICAL,Exported 4035 records from Infrastructure_DB to external_email. High exfiltration risk.
ACC-000030,True,FAILED_AUTH_BURST,MEDIUM,Failed SSO authentication attempt from Mumbai (IP: 10.128.118.146). Part of burst pattern.
ACC-000031,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000032,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000033,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000034,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000035,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000036,True,EXFILTRATION_RISK,CRITICAL,Exported 16036 records from Backup_System to print. High exfiltration risk.
ACC-000037,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000038,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000039,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000040,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000041,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000042,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000043,True,CROSS_DEPT_ACCESS,MEDIUM,Finance employee accessed AP_System (high sensitivity) — not in approved assets.
ACC-000044,True,BULK_EXPORT,HIGH,Exported 17380 records from Backup_System (avg is 330). Volume is 53x normal.
ACC-000045,True,BULK_EXPORT,HIGH,Exported 83960 records from Executive_Dashboard (avg is 2714). Volume is 31x normal.
ACC-000046,True,CROSS_DEPT_ACCESS,MEDIUM,HR employee accessed CRM_Database (high sensitivity) — not in approved assets.
ACC-000047,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000048,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000049,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000050,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Mumbai (IP: 10.31.184.199). Part of burst pattern.
ACC-000051,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000052,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000053,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 20595 records bulk exported from Financial_Reports at 03:55 to external_email. Weak auth (API_Key), geo: Unknown_VPN."
ACC-000054,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Benefits_DB at 04:03 (outside 8-18 hours).
ACC-000055,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Benefits_DB at 01:27 (outside 9-18 hours).
ACC-000056,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000057,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000058,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000059,True,EXFILTRATION_RISK,CRITICAL,Exported 5525 records from Compliance_DB to personal_device. High exfiltration risk.
ACC-000060,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000061,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000062,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000063,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000064,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000065,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000066,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000067,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000068,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Mumbai (IP: 10.173.211.124). Part of burst pattern.
ACC-000069,True,EXFILTRATION_RISK,CRITICAL,Exported 781 records from Strategic_Plans to personal_device. High exfiltration risk.
ACC-000070,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000071,True,CROSS_DEPT_ACCESS,MEDIUM,Executive employee accessed Payroll_System (restricted sensitivity) — not in approved assets.
ACC-000072,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing high-sensitivity AR_System. Equipment policy violation.
ACC-000073,True,FAILED_AUTH_BURST,MEDIUM,Failed Password_Only authentication attempt from Pyongyang (IP: 178.92.192.82). Part of burst pattern.
ACC-000074,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 24590 records bulk exported from HR_Database at 02:41 to usb_drive. Weak auth (Password_Only), geo: Lagos."
ACC-000075,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000076,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000077,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000078,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2025-11-08; sudden access to All_Financial after extended dormancy.
ACC-000079,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing high-sensitivity CRM_Database. Equipment policy violation.
ACC-000080,True,BULK_EXPORT,HIGH,Exported 14534 records from Litigation_DB (avg is 385). Volume is 38x normal.
ACC-000081,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 12582 records from PROD_DB to usb_drive. Tenure: 33mo, notice_period=True."
ACC-000082,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing high-sensitivity Executive_Dashboard. Equipment policy violation.
ACC-000083,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed restricted-sensitivity Strategic_Plans at 02:33 (outside 8-18 hours).
ACC-000084,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed All_Financial (restricted). Exceeds privilege level.
ACC-000085,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2026-02-19; sudden access to SLA_Reports after extended dormancy.
ACC-000086,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000087,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000088,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000089,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 88814 records bulk exported from Merger_Documents at 01:27 to external_email. Weak auth (Password_Only), geo: Mumbai."
ACC-000090,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed Strategic_Plans (restricted). Exceeds privilege level.
ACC-000091,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000092,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000093,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed Admin_Console (medium). Exceeds privilege level.
ACC-000094,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000095,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000096,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000097,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000098,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000099,True,CROSS_DEPT_ACCESS,MEDIUM,Marketing employee accessed CRM_Database (high sensitivity) — not in approved assets.
ACC-000100,True,BULK_EXPORT,HIGH,Exported 313436 records from Strategic_Plans (avg is 3456). Volume is 91x normal.
ACC-000101,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 35998 records bulk exported from Infrastructure_DB at 04:43 to cloud_storage. Weak auth (Password_Only), geo: New_York."
ACC-000102,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing high-sensitivity AP_System. Equipment policy violation.
ACC-000103,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000104,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000105,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000106,True,CROSS_DEPT_ACCESS,MEDIUM,IT employee accessed CRM_Database (high sensitivity) — not in approved assets.
ACC-000107,True,BULK_EXPORT,HIGH,Exported 86448 records from All_Financial (avg is 4963). Volume is 17x normal.
ACC-000108,True,CROSS_DEPT_ACCESS,MEDIUM,IT employee accessed GL_Ledger (high sensitivity) — not in approved assets.
ACC-000109,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000110,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000111,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000112,True,FAILED_AUTH_BURST,MEDIUM,Failed Password_Only authentication attempt from Sydney (IP: 10.176.24.244). Part of burst pattern.
ACC-000113,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000114,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 31309 records from Board_Materials to external_email. Tenure: 61mo, notice_period=True."
ACC-000115,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000116,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000117,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Board_Materials (restricted). Exceeds privilege level.
ACC-000118,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000119,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000120,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000121,True,EXFILTRATION_RISK,CRITICAL,Exported 32038 records from Financial_Reports to cloud_storage. High exfiltration risk.
ACC-000122,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000123,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000124,True,DEVICE_ANOMALY,MEDIUM,Access from unregistered device (IP: 185.134.170.155) using Custom_ETL. Not matching registered equipment.
ACC-000125,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000126,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000127,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000128,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000129,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000130,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Admin_Console (medium). Exceeds privilege level.
ACC-000131,True,BULK_EXPORT,HIGH,Exported 22469 records from GL_Ledger (avg is 1172). Volume is 19x normal.
ACC-000132,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2026-02-19; sudden access to Executive_Dashboard after extended dormancy.
ACC-000133,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity AP_System at 05:59 (outside 8-18 hours).
ACC-000134,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000135,True,FAILED_AUTH_BURST,MEDIUM,Failed SSO authentication attempt from Singapore (IP: 10.26.139.151). Part of burst pattern.
ACC-000136,True,CROSS_DEPT_ACCESS,MEDIUM,Finance employee accessed Infrastructure_DB (high sensitivity) — not in approved assets.
ACC-000137,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000138,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Customer_Vault at 05:44 (outside 8-20 hours).
ACC-000139,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000140,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000141,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000142,True,FAILED_AUTH_BURST,MEDIUM,Failed Password_Only authentication attempt from Tokyo (IP: 10.192.19.84). Part of burst pattern.
ACC-000143,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Benefits_DB at 01:47 (outside 8-18 hours).
ACC-000144,True,BULK_EXPORT,HIGH,Exported 355564 records from Merger_Documents (avg is 4062). Volume is 88x normal.
ACC-000145,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000146,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000147,True,EXFILTRATION_RISK,CRITICAL,Exported 13266 records from CRM_Database to personal_device. High exfiltration risk.
ACC-000148,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000149,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000150,True,BULK_EXPORT,HIGH,Exported 9486 records from Benefits_DB (avg is 385). Volume is 25x normal.
ACC-000151,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2025-12-18; sudden access to Network_Logs after extended dormancy.
ACC-000152,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000153,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Board_Materials (restricted). Exceeds privilege level.
ACC-000154,True,EXFILTRATION_RISK,CRITICAL,Exported 4945 records from Benefits_DB to usb_drive. High exfiltration risk.
ACC-000155,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Backup_System at 00:03 (outside 7-21 hours).
ACC-000156,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 3758 records bulk exported from Payroll_System at 00:11 to cloud_storage. Weak auth (API_Key), geo: Tor_Exit_Node."
ACC-000157,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity GL_Ledger at 03:49 (outside 7-21 hours).
ACC-000158,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 8956 records from Infrastructure_DB to external_email. Tenure: 18mo, notice_period=True."
ACC-000159,True,CROSS_DEPT_ACCESS,MEDIUM,Finance employee accessed Customer_Vault (high sensitivity) — not in approved assets.
ACC-000160,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000161,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000162,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity AR_System at 01:00 (outside 9-18 hours).
ACC-000163,True,CROSS_DEPT_ACCESS,MEDIUM,IT employee accessed Legal_Documents (high sensitivity) — not in approved assets.
ACC-000164,True,CROSS_DEPT_ACCESS,MEDIUM,Legal employee accessed Merger_Documents (restricted sensitivity) — not in approved assets.
ACC-000165,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000166,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000167,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000168,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2025-12-01; sudden access to CRM_Database after extended dormancy.
ACC-000169,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000170,True,BULK_EXPORT,HIGH,Exported 20931 records from Financial_Reports (avg is 1025). Volume is 20x normal.
ACC-000171,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000172,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000173,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000174,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000175,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed Board_Materials (restricted). Exceeds privilege level.
ACC-000176,True,BULK_EXPORT,HIGH,Exported 134228 records from AR_System (avg is 2456). Volume is 55x normal.
ACC-000177,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000178,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000179,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed restricted-sensitivity Merger_Documents at 05:45 (outside 7-22 hours).
ACC-000180,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000181,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Contract_Repository at 23:02 (outside 9-18 hours).
ACC-000182,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000183,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 91520 records bulk exported from GL_Ledger at 01:01 to cloud_storage. Weak auth (API_Key), geo: Caracas."
ACC-000184,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000185,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000186,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000187,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Executive_Dashboard at 22:12 (outside 9-18 hours).
ACC-000188,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000189,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity AR_System at 03:59 (outside 8-20 hours).
ACC-000190,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000191,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000192,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Infrastructure_DB (high). Exceeds privilege level.
ACC-000193,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000194,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000195,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000196,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000197,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000198,True,BULK_EXPORT,HIGH,Exported 8193 records from Financial_Reports (avg is 124). Volume is 66x normal.
ACC-000199,True,BULK_EXPORT,HIGH,Exported 116717 records from Strategic_Plans (avg is 3456). Volume is 34x normal.
ACC-000200,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Contract_Repository at 05:23 (outside 9-18 hours).
ACC-000201,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Benefits_DB at 04:51 (outside 8-18 hours).
ACC-000202,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000203,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000204,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed restricted-sensitivity Merger_Documents at 23:38 (outside 9-18 hours).
ACC-000205,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 214321 records from Merger_Documents to cloud_storage. Tenure: 24mo, notice_period=True."
ACC-000206,True,CROSS_DEPT_ACCESS,MEDIUM,HR employee accessed CRM_Database (high sensitivity) — not in approved assets.
ACC-000207,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000208,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 7275 records from PROD_DB to cloud_storage. Tenure: 33mo, notice_period=True."
ACC-000209,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Strategic_Plans (restricted). Exceeds privilege level.
ACC-000210,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000211,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Caracas (IP: 45.27.176.77). Part of burst pattern.
ACC-000212,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000213,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000214,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000215,True,BULK_EXPORT,HIGH,Exported 98170 records from PROD_DB (avg is 1350). Volume is 73x normal.
ACC-000216,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000217,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000218,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000219,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 35930 records from Strategic_Plans to personal_device. Tenure: 61mo, notice_period=True."
ACC-000220,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 203480 records bulk exported from Customer_Vault at 04:56 to cloud_storage. Weak auth (Password_Only), geo: Unknown_VPN."
ACC-000221,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing restricted-sensitivity Board_Materials. Equipment policy violation.
ACC-000222,True,PRIVILEGE_ESCALATION,HIGH,junior-tier user accessed Strategic_Plans (restricted). Exceeds privilege level.
ACC-000223,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed restricted-sensitivity Strategic_Plans at 04:49 (outside 7-22 hours).
ACC-000224,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000225,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000226,True,CROSS_DEPT_ACCESS,MEDIUM,HR employee accessed Merger_Documents (restricted sensitivity) — not in approved assets.
ACC-000227,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000228,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000229,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Tor_Exit_Node (IP: 178.251.186.164). Part of burst pattern.
ACC-000230,True,CROSS_DEPT_ACCESS,MEDIUM,Engineering employee accessed Backup_System (high sensitivity) — not in approved assets.
ACC-000231,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000232,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000233,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000234,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000235,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000236,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000237,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000238,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2025-12-13; sudden access to Legal_Documents after extended dormancy.
ACC-000239,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000240,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Backup_System at 01:04 (outside 8-20 hours).
ACC-000241,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 8220 records bulk exported from Infrastructure_DB at 04:32 to external_email. Weak auth (Password_Only), geo: Pyongyang."
ACC-000242,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000243,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000244,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000245,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000246,True,DEVICE_ANOMALY,MEDIUM,Contractor machine accessing high-sensitivity GL_Ledger. Equipment policy violation.
ACC-000247,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000248,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000249,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000250,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000251,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000252,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000253,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Tor_Exit_Node (IP: 178.28.108.110). Part of burst pattern.
ACC-000254,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000255,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 25224 records from PROD_DB to external_email. Tenure: 54mo, notice_period=True."
ACC-000256,True,BULK_EXPORT,HIGH,Exported 29135 records from AR_System (avg is 318). Volume is 92x normal.
ACC-000257,True,CROSS_DEPT_ACCESS,MEDIUM,Finance employee accessed HR_Database (high sensitivity) — not in approved assets.
ACC-000258,True,CROSS_DEPT_ACCESS,MEDIUM,Support employee accessed Litigation_DB (restricted sensitivity) — not in approved assets.
ACC-000259,True,AFTER_HOURS_RESTRICTED,HIGH,Accessed high-sensitivity Benefits_DB at 23:00 (outside 9-18 hours).
ACC-000260,True,CROSS_DEPT_ACCESS,MEDIUM,Engineering employee accessed AR_System (high sensitivity) — not in approved assets.
ACC-000261,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000262,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000263,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 65397 records from PROD_DB to cloud_storage. Tenure: 64mo, notice_period=True."
ACC-000264,True,PRIVILEGE_ESCALATION,HIGH,standard-tier user accessed Board_Materials (restricted). Exceeds privilege level.
ACC-000265,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000266,True,BULK_EXPORT,HIGH,Exported 58942 records from Strategic_Plans (avg is 814). Volume is 72x normal.
ACC-000267,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000268,True,BULK_EXPORT,HIGH,Exported 11738 records from Strategic_Plans (avg is 1053). Volume is 11x normal.
ACC-000269,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000270,True,BULK_EXPORT,HIGH,Exported 6404 records from AP_System (avg is 75). Volume is 85x normal.
ACC-000271,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000272,True,FAILED_AUTH_BURST,MEDIUM,Failed MFA authentication attempt from Sydney (IP: 10.198.198.18). Part of burst pattern.
ACC-000273,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000274,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000275,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 28376 records bulk exported from Benefits_DB at 00:31 to usb_drive. Weak auth (Password_Only), geo: New_York."
ACC-000276,True,STALE_ACCOUNT_ACCESS,HIGH,Account last active 2025-11-06; sudden access to Supply_Chain_DB after extended dormancy.
ACC-000277,True,PRE_RESIGNATION_DOWNLOAD,CRITICAL,"Employee on notice period downloaded 237057 records from All_Financial to personal_device. Tenure: 24mo, notice_period=True."
ACC-000278,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000279,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000280,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000281,False,NORMAL,NONE,Access within normal behavioral parameters.
ACC-000282,True,NIGHT_BULK_CRITICAL,CRITICAL,"CRITICAL: 203845 records bulk exported from GL_Ledger at 00:27 to usb_drive. Weak auth (Password_Only), geo: Pyongyang."
ACC-000283,True,EXFILTRATION_RISK,CRITICAL,Exported 454 records from GL_Ledger to usb_drive. High exfiltration risk.
ACC-000284,True,BULK_EXPORT,HIGH,Exported 197468 records from Customer_Vault (avg is 2653). Volume is 74x normal.
ACC-000285,True,BULK_EXPORT,HIGH,Exported 62120 records from Customer_Vault (avg is 1025). Volume is 61x normal.
